epoch,train_loss,val_accuracy
1,0.6409103904388569,0.8585
2,0.36429108079274497,0.8811666666666667
3,0.3116148252663789,0.8895
4,0.27789070227411056,0.902
5,0.2531407736583992,0.8995
6,0.23889275255909673,0.9085
7,0.22235854272047678,0.9143333333333333
8,0.21047990194514946,0.9085
9,0.1983205598813516,0.9153333333333333
10,0.18492717472270684,0.914
11,0.17518105128517858,0.9176666666666666
12,0.16516576894565865,0.9175
13,0.15565055270989736,0.9175
14,0.14649141023777149,0.921
15,0.13892652191497662,0.9185
16,0.1311439003723639,0.9228333333333333
17,0.12073037474022971,0.9196666666666666
18,0.1154071268858733,0.9216666666666666
